gene_symbol,evidence_strength,biological_coherence,translational_relevance,leakage_gate,heterogeneity_gate,positive_score,audit_score,audit_class,rank,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,confidence_class,anchor_secondary,anchor_primary
S100A6,0.75,0.871861774118671,0,1,1,0.605151620941535,0.636265056000086,high_confidence,84,0.673631086382579,0.468058026082224,0.735688081808085,0.267630055725861,high_uncertain,FALSE,FALSE
S100A16,0.75,0.871057952244695,0,1,1,0.604870283285643,0.635969253571098,high_confidence,85,0.650994056735919,0.445209703074653,0.740475055698648,0.295265352623996,high_uncertain,FALSE,FALSE
PLIN4,0.75,0.870303516448623,0,1,1,0.604606230757018,0.635691624971754,high_confidence,86,0.670724314309188,0.460691803327787,0.736272120712259,0.275580317384472,high_uncertain,FALSE,FALSE
SLC16A10,0.75,0.868092502630714,0,1,1,0.60383237592075,0.634877982946028,high_confidence,87,0.674560338640352,0.617843601756079,0.739379844190046,0.121536242433968,stable_high,FALSE,FALSE
ANXA10,0.75,0.866454283226554,0,1,1,0.603258999129294,0.634275126399503,high_confidence,88,0.67378990421518,0.621023460690185,0.741632762290104,0.120609301599919,stable_high,FALSE,FALSE
PTTG1IP,0.5,0.937228840097706,0.3,1,1,0.603030094034197,0.634034452313687,high_confidence,89,0.672168043269914,0.465662432281548,0.728776051337336,0.263113619055788,high_uncertain,FALSE,FALSE
GPRC5A,0.75,0.863606507309262,0,1,1,0.602262277558242,0.633227159106224,high_confidence,90,0.636764569555375,0.437294000980136,0.728900967215998,0.291606966235862,high_uncertain,FALSE,FALSE
CD58,0.5,0.932530179938922,0.3,1,1,0.601385562978623,0.632305368877472,high_confidence,91,0.670498599429232,0.499551001565076,0.730386585268896,0.23083558370382,high_uncertain,FALSE,FALSE
ITGB8,0.5,0.932234958714902,0.3,1,1,0.601282235550216,0.632196728943698,high_confidence,92,0.56165811535046,0.433420287811563,0.715073243720452,0.281652955908889,high_uncertain,FALSE,FALSE
MST1R,0.5,0.929843767073871,0.3,1,1,0.600445318475855,0.631316782380295,high_confidence,93,0.671821668445596,0.607398896458837,0.720175530178415,0.112776633719578,stable_high,FALSE,FALSE
MET,0.5,0.92631962088091,0.3,1,1,0.599211867308318,0.630019914208704,high_confidence,94,0.673394885768093,0.604383210094726,0.726878669972906,0.12249545987818,stable_high,FALSE,FALSE
ANPEP,1,0.996112391847626,0.4,1,0.7,0.848639337146669,0.624590062525781,supported_uncertain,95,0.275358149997131,0.241330377899251,0.625833528444061,0.384503150544811,high_uncertain,TRUE,TRUE
TMEM131,0.5,0.88987129033029,0.3,1,1,0.586454951615601,0.616607110876893,high_confidence,96,0.639691034483315,0.585263014841977,0.680987731767632,0.095724716925655,stable_high,FALSE,FALSE
TMPRSS4,0.75,0.811072639941219,0,1,1,0.583875423979427,0.61389495868381,high_confidence,97,0.657046510981678,0.608316014212607,0.71774602491605,0.109430010703442,stable_high,FALSE,FALSE
SERPINB3,0.75,0.810823938801264,0,1,1,0.583788378580442,0.613803437908284,high_confidence,98,0.651756595158077,0.600214267536683,0.720652360972395,0.120438093435712,stable_high,FALSE,FALSE
S100P,0.75,0.810792845053586,0,1,1,0.583777495768755,0.613791995564666,high_confidence,99,0.65278543217848,0.473925562701888,0.715218261379066,0.241292698677178,high_uncertain,FALSE,FALSE
GPX2,0.75,0.806274231571937,0,1,1,0.582195981050178,0.612129168405062,high_confidence,100,0.628299492500019,0.426068452431465,0.709508746385946,0.28344029395448,high_uncertain,FALSE,FALSE
