scenario,fold100,pval100,neg_top100,v02fp_top1k,ltbp1_rank,gapdh_score,jaccard100,spearman
RAND_0270,28.8942857142857,8.35064971012568e-06,0,1,97,0,0.739130434782609,0.995301820963224
RAND_0271,28.8942857142857,8.35064971012568e-06,0,0,235,0,0.694915254237288,0.989423965381236
RAND_0272,21.6707142857143,0.000315516010147151,0,0,364,0,0.769911504424779,0.996617290667575
RAND_0273,28.8942857142857,8.35064971012568e-06,0,0,134,0,0.694915254237288,0.987727649041067
RAND_0274,28.8942857142857,8.35064971012568e-06,0,1,101,0,0.739130434782609,0.99717712294926
RAND_0275,28.8942857142857,8.35064971012568e-06,0,0,325,0,0.724137931034483,0.995744717962281
RAND_0276,28.8942857142857,8.35064971012568e-06,0,1,49,0,0.739130434782609,0.996205130701644
RAND_0277,21.6707142857143,0.000315516010147151,0,0,260,0,0.652892561983471,0.983393788241241
RAND_0278,21.6707142857143,0.000315516010147151,0,0,408,0,0.941747572815534,0.997014362977997
RAND_0279,21.6707142857143,0.000315516010147151,0,0,446,0,0.680672268907563,0.98948030671501
RAND_0280,28.8942857142857,8.35064971012568e-06,0,1,85,0,0.869158878504673,0.993643670370809
RAND_0281,28.8942857142857,8.35064971012568e-06,0,0,408,0,0.801801801801802,0.993002068125273
RAND_0282,14.4471428571429,0.00815293421191023,0,0,462,0,0.769911504424779,0.997394380743583
RAND_0283,28.8942857142857,8.35064971012568e-06,0,0,320,0,0.754385964912281,0.997828910796826
RAND_0284,28.8942857142857,8.35064971012568e-06,0,0,129,0,0.680672268907563,0.98803250893451
RAND_0285,21.6707142857143,0.000315516010147151,0,0,427,0,0.923076923076923,0.996663131730461
RAND_0286,28.8942857142857,8.35064971012568e-06,0,1,62,0,0.739130434782609,0.994949851202759
RAND_0287,21.6707142857143,0.000315516010147151,0,0,479,0,0.680672268907563,0.998193378324177
RAND_0288,21.6707142857143,0.000315516010147151,0,0,542,0,0.869158878504673,0.994401231074244
RAND_0289,21.6707142857143,0.000315516010147151,0,0,423,0,0.886792452830189,0.994279397122109
RAND_0290,28.8942857142857,8.35064971012568e-06,0,0,367,0,1,0.998825752643653
RAND_0291,21.6707142857143,0.000315516010147151,0,0,430,0,0.923076923076923,0.999124095608744
RAND_0292,36.1178571428571,1.59471074058841e-07,0,1,97,0,0.70940170940171,0.992951497127178
RAND_0293,28.8942857142857,8.35064971012568e-06,0,0,377,0,0.769911504424779,0.999304988555829
RAND_0294,28.8942857142857,8.35064971012568e-06,0,1,232,0,0.886792452830189,0.998289799347172
RAND_0295,28.8942857142857,8.35064971012568e-06,0,1,239,0,0.739130434782609,0.997397377266191
RAND_0296,28.8942857142857,8.35064971012568e-06,0,0,256,0,0.724137931034483,0.994928059989594
RAND_0297,21.6707142857143,0.000315516010147151,0,0,803,0,0.666666666666667,0.994918300373463
RAND_0298,21.6707142857143,0.000315516010147151,0,0,490,0,0.801801801801802,0.989901134608807
RAND_0299,28.8942857142857,8.35064971012568e-06,0,1,150,0,0.785714285714286,0.997300074140688
RAND_0300,21.6707142857143,0.000315516010147151,0,0,480,0,0.851851851851852,0.99959421917234
RAND_0301,21.6707142857143,0.000315516010147151,0,1,262,0,0.639344262295082,0.966869162352668
RAND_0302,28.8942857142857,8.35064971012568e-06,0,0,328,0,0.851851851851852,0.997940391016292
RAND_0303,28.8942857142857,8.35064971012568e-06,0,0,278,0,0.724137931034483,0.992144447768808
RAND_0304,28.8942857142857,8.35064971012568e-06,0,0,148,0,0.70940170940171,0.995709852232498
RAND_0305,28.8942857142857,8.35064971012568e-06,0,1,271,0,0.923076923076923,0.998891371995575
RAND_0306,28.8942857142857,8.35064971012568e-06,0,0,346,0,0.769911504424779,0.998533244007898
RAND_0307,21.6707142857143,0.000315516010147151,0,0,366,0,0.680672268907563,0.992414308750202
RAND_0308,28.8942857142857,8.35064971012568e-06,0,1,64,0,0.70940170940171,0.994070414174973
RAND_0309,28.8942857142857,8.35064971012568e-06,0,0,247,0,0.886792452830189,0.992697326589623
RAND_0310,28.8942857142857,8.35064971012568e-06,0,1,204,0,0.739130434782609,0.994636536606577
RAND_0311,28.8942857142857,8.35064971012568e-06,0,0,396,0,0.70940170940171,0.997490227907443
RAND_0312,28.8942857142857,8.35064971012568e-06,0,1,149,0,0.785714285714286,0.996490958585284
RAND_0313,21.6707142857143,0.000315516010147151,0,0,684,0,0.680672268907563,0.997832417846614
RAND_0314,28.8942857142857,8.35064971012568e-06,0,0,402,0,0.739130434782609,0.99112525758961
RAND_0315,28.8942857142857,8.35064971012568e-06,0,0,377,0,0.666666666666667,0.989141633513194
RAND_0316,28.8942857142857,8.35064971012568e-06,0,1,151,0,0.769911504424779,0.996963866688506
RAND_0317,28.8942857142857,8.35064971012568e-06,0,0,289,0,0.851851851851852,0.996804941826671
RAND_0318,28.8942857142857,8.35064971012568e-06,0,1,229,0,0.754385964912281,0.997456443423787
RAND_0319,21.6707142857143,0.000315516010147151,0,0,392,0,0.652892561983471,0.980915294755907
RAND_0320,28.8942857142857,8.35064971012568e-06,0,0,138,0,0.851851851851852,0.991276027012651
RAND_0321,28.8942857142857,8.35064971012568e-06,0,0,418,0,0.818181818181818,0.999640034481043
RAND_0322,28.8942857142857,8.35064971012568e-06,0,0,471,0,0.851851851851852,0.996600422723021
RAND_0323,28.8942857142857,8.35064971012568e-06,0,1,114,0,0.769911504424779,0.999664369106893
RAND_0324,28.8942857142857,8.35064971012568e-06,0,0,312,0,0.785714285714286,0.999135769770001
RAND_0325,21.6707142857143,0.000315516010147151,0,0,597,0,0.680672268907563,0.994631800820519
RAND_0326,28.8942857142857,8.35064971012568e-06,0,0,343,0,0.818181818181818,0.997853867156613
RAND_0327,21.6707142857143,0.000315516010147151,0,0,349,0,0.834862385321101,0.997967235325382
RAND_0328,28.8942857142857,8.35064971012568e-06,0,1,29,0,0.739130434782609,0.995089119035558
RAND_0329,14.4471428571429,0.00815293421191023,0,0,491,0,0.666666666666667,0.991925508952519
RAND_0330,14.4471428571429,0.00815293421191023,0,0,843,0,0.851851851851852,0.993444402932066
RAND_0331,36.1178571428571,1.59471074058841e-07,0,1,111,0,0.739130434782609,0.994052877521365
RAND_0332,28.8942857142857,8.35064971012568e-06,0,1,134,0,0.923076923076923,0.998924194595063
RAND_0333,21.6707142857143,0.000315516010147151,0,0,423,0,0.680672268907563,0.998605009217828
RAND_0334,21.6707142857143,0.000315516010147151,0,0,427,0,0.666666666666667,0.990790134181282
RAND_0335,21.6707142857143,0.000315516010147151,0,0,509,0,0.904761904761905,0.995233758852949
RAND_0336,21.6707142857143,0.000315516010147151,0,0,154,0,0.626016260162602,0.978335933294935
RAND_0337,21.6707142857143,0.000315516010147151,0,0,406,0,0.785714285714286,0.994132982506649
RAND_0338,28.8942857142857,8.35064971012568e-06,0,1,78,0,0.834862385321101,0.998122126700352
RAND_0339,21.6707142857143,0.000315516010147151,0,1,288,0,0.754385964912281,0.998528535165926
RAND_0340,28.8942857142857,8.35064971012568e-06,0,1,150,0,0.941747572815534,0.986147768769148
RAND_0341,21.6707142857143,0.000315516010147151,0,0,417,0,0.904761904761905,0.993221844042452
RAND_0342,28.8942857142857,8.35064971012568e-06,0,1,39,0,0.739130434782609,0.996224509989499
RAND_0343,21.6707142857143,0.000315516010147151,0,0,425,0,0.70940170940171,0.99897644591279
RAND_0344,21.6707142857143,0.000315516010147151,0,0,334,0,0.666666666666667,0.987803221226433
RAND_0345,28.8942857142857,8.35064971012568e-06,0,0,395,0,0.801801801801802,0.999832496610764
RAND_0346,21.6707142857143,0.000315516010147151,0,0,514,0,0.834862385321101,0.998798333610571
RAND_0347,21.6707142857143,0.000315516010147151,0,0,440,0,0.769911504424779,0.9981339235553
RAND_0348,21.6707142857143,0.000315516010147151,0,0,618,0,0.739130434782609,0.993869599418926
RAND_0349,28.8942857142857,8.35064971012568e-06,0,1,134,0,0.739130434782609,0.996468710541568
RAND_0350,21.6707142857143,0.000315516010147151,0,0,433,0,0.70940170940171,0.997909699379484
RAND_0351,28.8942857142857,8.35064971012568e-06,0,0,203,0,0.724137931034483,0.991469189375195
