gene_symbol,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,rank_median,rank_lo95,rank_hi95,confidence_class,is_hk,is_plasma_hi,leakage_mult,max_I2_meta,rna_pattern_rho,rna_cohort_agreement
SLC30A8,0.0308752977837069,0.00856057141369088,0.0724691123654674,0.0639085409517765,8623,6943.975,9835.05,low,FALSE,FALSE,1,89.2473006167347,0.925815506053869,0.5
SLC30A9,0.0325912669176636,0.0126583763945177,0.0877153938839638,0.0750570174894461,8518,6429.85,9673.725,low,FALSE,FALSE,1,92.7657925499542,0.731750412129569,0.75
SLC31A1,0.279909663141451,0.115623464781958,0.335700450925713,0.220076986143755,3055,2306.95,5595.3,low,FALSE,FALSE,1,88.153075508541,0.997447369931054,0.75
SLC31A2,0.100077040094848,0.082591428005386,0.244898174221609,0.162306746216223,6077.5,3666.3,6577.875,low,FALSE,FALSE,1,99.3150317054788,0.997966140083154,0.75
SLC34A2,0.189625720158297,0.0819167997032738,0.293014802543555,0.211098002840282,4335,2899.175,6570.75,low,FALSE,FALSE,1,75.4527947199455,0.997128138176429,0.75
SLC34A3,0.0290505397399711,0.0078852896225841,0.0798304752123293,0.0719451855897452,8760,6693.7,9860.725,low,FALSE,FALSE,1,88.6283373350136,0.989786423924042,0.5
SLC35A1,0.102831638895282,0.0837722588435715,0.25230030165309,0.168528042809519,6025.5,3576.95,6538.2,low,FALSE,FALSE,1,95.9785169694674,0.946907923243501,0.75
SLC35A2,0.375376639023093,0.328478665532323,0.427257449843754,0.0987787843114314,1824,1236.375,2305.525,medium,FALSE,FALSE,1,0,0.978015826418107,0.5
SLC35A4,0.350586532912314,0.234123020766604,0.432966212506028,0.198843191739424,2074.5,1239.85,3829.075,low,FALSE,FALSE,1,68.5923509395612,0.94100877506401,0.5
SLC35B1,0.0238077507846173,0.00741543949769434,0.0734310250699794,0.0660155855722851,9111,6923.9,9887.575,low,FALSE,FALSE,1,94.6282700308969,0.88619979753345,0.5
SLC35D1,0.0823112525404636,0.0354026370250425,0.126999221319519,0.0915965842944765,6616,5239.075,8339.675,low,FALSE,FALSE,1,64.1753502351563,0.997124957478189,0.75
SLC35D2,0.0783106946257891,0.0645071001008781,0.199220288090856,0.134713187989978,6738.5,4139.8,7216.075,low,FALSE,FALSE,1,99.1730337746053,0.962510995953118,0.5
SLC35D3,0.0339918804324964,0.00689666783719351,0.0778968976602642,0.0710002298230707,8422.5,6766.675,9893.15,low,FALSE,FALSE,1,86.9780966620582,0.711928336429101,0.5
