gene_symbol,score_layer,score_direction,score_early,score_serum,score_rescue,positive_score,leakage_mult,het_mult,audit_score_raw,audit_score,is_hk,is_plasma_hi,rescue_eligible
SLC25A44,0.25,0.375,0.950393157635146,0,0,0.315078631527029,1,0.3,0.0945235894581088,0.127028345129486,FALSE,FALSE,FALSE
SLC25A45,0.5,0.375,0.999979205587658,0,0,0.374995841117532,1,1,0.374995841117532,0.503949346408506,FALSE,FALSE,FALSE
SLC25A46,0.25,0.25,0,0,0,0.1,1,0.7,0.07,0.0940715879500622,FALSE,FALSE,FALSE
SLC25A48,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SLC25A5,0.25,0.5,0.986505420923218,0,0,0.347301084184644,1,0.3,0.104190325255393,0.14001927636869,FALSE,FALSE,FALSE
SLC25A51,0.25,0.25,0,0,0,0.1,1,0.3,0.03,0.040316394835741,FALSE,FALSE,FALSE
SLC25A6,0.25,0,0.985042773709111,0,0,0.247008554741822,1,0.7,0.172905988319276,0.232364869818131,FALSE,FALSE,FALSE
SLC26A1,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SLC26A11,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SLC26A2,0,0.5,0,0,0,0.1,1,0.7,0.07,0.0940715879500622,FALSE,FALSE,FALSE
SLC26A3,0.25,0,0.943060717161167,0,0,0.238612143432233,1,0.3,0.07158364302967,0.0961998138721638,FALSE,FALSE,FALSE
SLC26A4,0,0.5,0,0,0,0.1,1,0.7,0.07,0.0940715879500622,FALSE,FALSE,FALSE
SLC26A7,0.25,0.5,0.534727340988345,0,0,0.256945468197669,1,0.7,0.179861827738368,0.24171268209927,FALSE,FALSE,FALSE
SLC26A9,0.25,0.125,0.991921171793874,0,0,0.273384234358775,1,0.7,0.191368964051142,0.257176890466419,FALSE,FALSE,FALSE
SLC27A2,0.5,0.875,0.990437720371462,0,0,0.473087544074292,1,0.3,0.141926263222288,0.190731842187702,FALSE,FALSE,FALSE
SLC27A3,0,0.375,0,0,0,0.075,1,1,0.075,0.100790987089352,FALSE,FALSE,FALSE
SLC27A4,0.5,0.75,0.974014827915135,0,0,0.444802965583027,1,0.3,0.133440889674908,0.179328519845538,FALSE,FALSE,FALSE
SLC27A5,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SLC27A6,0,0.25,0,0,0,0.05,1,1,0.05,0.0671939913929016,FALSE,FALSE,FALSE
SLC28A1,0.25,0.25,0.993193271562415,0,0,0.298638654312483,1,0.3,0.0895915962937449,0.120400339004764,FALSE,FALSE,FALSE
SLC28A2,0.25,0.375,0.980715946914469,0,0,0.321143189382894,1,0.3,0.0963429568148681,0.129473356219699,FALSE,FALSE,FALSE
SLC29A2,0.25,0.375,0.511466882210711,0,0,0.227293376442142,1,0.7,0.159105363509499,0.213818488524436,FALSE,FALSE,FALSE
SLC29A4,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SLC2A1,0.75,1,0.996182801680327,0,0,0.549236560336065,1,0.7,0.384465592235246,0.516675553910438,FALSE,FALSE,FALSE
